username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@JmmRanchi_,"JMM Ranchi
@JmmRanchi_
·
9h
केंद्र की भाजपा सरकार द्वारा लगातार झारखंड के साथ भेदभाव किया गया, झारखंड के हक- अधिकार से वंचित किया गया। 

हेमंत सोरेन जी ने अपने कुशल नेतृत्व से न सिर्फ विकास कार्यों को जारी रखा, बल्कि आधी आबादी महिलाओं को सशक्त बनाने के लिए मंईयां सम्मान योजना भी शुरू की।
@HemantSorenJMM
10
16
168",2024-11-03T07:42:55.000Z,0,0,0,0,#हेमंत सोरेन,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@JmmRanchi_/status/None
@s_afreen7,"Sadaf Afreen صدف
@s_afreen7
·
Jun 28
तानाशाही आखिर कब तक चलती??

हेमंत सोरेन पांच महीने बाद रांची जेल से रिहा हो गए!

हाई कोर्ट ने हेमंत सोरेन को ज़मनात दे दी है!
From 
Surendra Rajput
26
227
905
12K",2024-06-28T11:03:00.000Z,0,0,0,0,#हेमंत सोरेन,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@s_afreen7/status/None
