username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@Lalogogue,"LaloGo
@Lalogogue
·
1h
@lancestroll is just STUPID! #Lance #Stroll 
@AstonMartinF1
  #astonmartin  #f1 #BrazilianGP  
3
1
3
902",2024-11-03T15:46:24.000Z,0,0,0,0,#Lance Stroll,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Lalogogue/status/None
@JamesBallerSC,"James
@JamesBallerSC
·
1h
Lance Stroll is an embarrassment to motor racing in any form, including children racing carts. Man needs his license revoked.
87",2024-11-03T15:32:49.000Z,0,0,0,0,#Lance Stroll,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@JamesBallerSC/status/None
