username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@JanduSantosh,"Santosh Jandu
@JanduSantosh
·
Nov 3
Spiritual Master Saint Dr MSG insan
started Nature Campaign for pollution free environment. Today the beauty of nature decreasing day by day. It is cause of pollution. Dera Sacha Sauda volunteers celebrate every occasion with tree plantation and provide care them. #GiftToNature
13
160
151
1.5K",2024-11-03T02:03:03.000Z,0,0,0,0,#Nature Campaign,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@JanduSantosh/status/None
@SheenamLilCutie,"𝘚𝘩𝘦𝘦𝘯𝘢𝘮
@SheenamLilCutie
·
Nov 3
Environmental Health is a must especially these days when air is getting polluted at its highest. A Big Thanks To Saint Dr MSG who started Nature Campaign under which millions of volunteers plant trees on their special days as a 
 #GiftToNature
Dr.GURMEET RAM RAHIM and 2 others
4
83
90
325",2024-11-03T04:54:23.000Z,0,0,0,0,#Nature Campaign,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SheenamLilCutie/status/None
@aishwaryarajifs,"Aishwarya Raj , IFS
@aishwaryarajifs
·
May 18
Kick-starting a new conservation campaign in Paonta Sahib with youngsters; Flowing towards a Greener Future- ‘#Yamuna Hamari Dharohar’. The idea is to eventually engage all schools with exposure visits & raise consciousness about Yamuna ecosystem & cleanliness measures.
#nature
MoEF&CC and 8 others
5
5
66
2.5K",2024-05-18T03:56:35.000Z,0,0,0,0,#Nature Campaign,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@aishwaryarajifs/status/None
